经度索引,纬度索引,count
102,24,3784
105,24,3789
35,33,4085
73,3,2695
82,17,229
111,50,1171
110,65,606
25,29,1665
39,50,7585
59,28,3541
85,61,2128
64,61,220
53,35,774
27,34,749
77,15,1340
33,33,30
54,31,140
100,13,11
77,8,692
71,56,2171
49,26,68
39,55,22
36,54,14
20,36,248
85,27,329
103,28,903
106,77,52
81,60,728
35,21,34
126,2,128
122,50,27
46,13,20
86,68,25
80,1,4
93,19,1
48,22,463
68,6,122
112,53,1
1,40,9
53,27,140
97,17,8
73,80,5
76,64,112
99,68,20
117,61,11
12,44,18
22,73,3
63,46,23045
63,67,5555
66,39,510895
67,58,30391
71,18,2363
74,45,5528527
78,47,1745341
88,33,98909
89,43,1107
62,50,8744
74,5,1733
86,43,7959
78,19,3496
104,20,37
102,2,321
49,66,752
54,35,307
70,17,150
91,20,2
25,56,1049
21,78,73
87,52,2202
94,53,78
114,45,9
57,22,268
47,34,11
49,78,109
60,78,46
38,47,1
6,1,15
104,60,48
59,63,179
97,24,10
83,16,48
60,23,17
73,60,127
103,35,7
64,66,18
27,46,4
76,78,127
1,15,21
127,82,32
76,74,4
0,56,4
100,21,2
111,14,1
47,58,1080
47,68,6212
56,48,3771
57,70,1132
62,34,82603
62,48,29861
63,17,4089
64,74,1411
65,21,731
66,31,14886638
66,52,57201
68,51,111985
77,30,1654386
81,33,288028
87,45,194687
89,39,659
99,40,5807
49,60,392
59,32,12942
74,0,601
82,59,2992
102,6,115
113,5,123
68,77,435
23,69,1807
47,49,37
52,30,1601
88,28,2358
96,23,79
28,58,5730
51,42,1353
30,69,293
105,5,5
103,25,159
104,73,127
58,14,756
93,52,9
83,80,24
116,19,7
60,22,183
85,68,186
91,74,110
114,11,1
13,39,42
102,12,222
99,51,865
60,64,324
83,23,432
54,37,3
93,63,15
95,33,43
87,78,1
77,3,41
98,54,21
31,70,32
30,48,29
123,4,34
103,51,50
92,12,8
49,3,2
122,28,57
37,61,6
39,42,13
47,4,1
31,46,1
118,31,1
15,22,13
109,24,3
101,9,2
119,50,15
35,64,1514
38,77,3284
44,41,10987
59,45,39548
60,12,11313
61,27,24563
62,51,32761
63,28,14099
67,31,2337316
74,28,211056
74,49,537290
82,31,23218
84,46,122044
92,42,3980
93,55,5262
108,21,2489
32,68,3699
35,27,172
83,51,17686
89,11,326
99,1,1591
6,2,139
68,20,749
69,79,416
79,65,523
45,17,183
78,0,1101
17,10,13
31,53,13
70,59,697
87,35,8018
86,64,441
105,44,453
77,7,1629
93,59,105
31,36,74
40,55,118
61,44,629
109,52,116
60,7,49
98,17,11
32,23,15
59,65,26
90,55,298
32,15,1
26,21,18
102,21,71
71,68,25
98,23,8
21,56,13
54,23,5
22,26,9
11,34,39
107,11,26
22,3,205
126,19,47
47,35,22
111,80,1
90,3,8
29,3,1
42,59,19
101,23,5
1,21,2
16,1,1
19,62,12
37,55,552
40,73,8710
64,29,130765
68,58,22809
71,59,18709
75,30,791178
75,31,304954
78,33,471811
80,28,13880
